Marca;Nombre;;Precio Und;Precio XM,Genero,Precio_Optimizado
"DOLCE  And  GABBANA;DOLCE & GABBANA POUR FEMME EAU DE PARFUM MUJER 100ML ;NUEVO; $63.235 ; $62.235 ","Mujer","1006323562990"
"Dolce  And  Gabbana;DOLCE & GABBANA Q BY MUJER 100ML EDT ;; $51.050 ; $50.050 ","Mujer","1005105050990"
"Dolce  And  Gabbana;DOLCE & GABBANA THE ONE FOR MAN 100ML EDT ;NUEVO; $45.176 ; $44.176 ","Unisex","1004517644990"
"DOLCE  And  GABBANA;DOLCE GABBANA THE ONE GOLD POUR HOMME EDP INTENSE 100 ML ;NUEVO; $47.697 ; $46.697 ","Hombre","1004769746990"
"Dolce  And  Gabbana;TESTER DOLCE & GABBANA LIGHT BLUE POUR HOMME 125ML EDT ;NUEVO; $37.605 ; $36.605 ","Hombre","1253760536990"
"Dolce  And  Gabbana;TESTER DOLCE & GABBANA LIGHT MUJER 100 ML EDT ;NUEVO; $37.605 ; $36.605 ","Mujer","1003760536990"
"Dolce  And  Gabbana;TESTER DOLCE & GABBANA THE ONLY ONE MUJER 100 ML EDT ;; $41.807 ; $40.807 ","Mujer","1004180740990"
"DRAKKAR;GUY LAROCHE DRAKKAR NOIR HOMBRE 30 ML EDT ;; $11.555 ; $10.555 ","Hombre","301155510990"
"Emporio Armani;STRONGER WITH YOU INTENSELY EDP 50 ML EMPORIO ARMANI ;; $65.168 ; $64.168 ","Unisex","506516864990"
"ESCADA;ESCADA BRISA CUBANA WOMAN 50 ML EDT ;; $16.597 ; $15.597 ","Unisex","501659715990"
"FRAGANCE WORLD;FRAGANCE WORLD BELLE EDP MUJER 100ML ;; $14.840 ; $13.840 ","Mujer","1001484013990"
"FRAGANCE WORLD;FRAGANCE WORLD COCKTAIL INTENSE 50ML ;; $7.353 ; $6.353 ","Unisex","5073536990"
"FRAGANCE WORLD;FRAGANCE WORLD HAYAATI BEAU 100ML EDP ;NUEVO; $14.496 ; $13.496 ","Unisex","1001449613990"
"FRAGANCE WORLD;FRAGANCE WORLD IS INTENSE EDP 75 ML ;; $14.076 ; $13.076 ","Unisex","751407613990"
"FRAGANCE WORLD;FRAGANCE WORLD IS L`AMOUR INTENSE EDP 75 ML ;; $14.076 ; $13.076 ","Unisex","751407613990"
"FRAGANCE WORLD;FRAGANCE WORLD JUST LYCHEE 100 ML EDP WOMAN ;NUEVO; $14.076 ; $13.076 ","Unisex","1001407613990"
"FRAGANCE WORLD;FRAGANCE WORLD PROUD OF YOU ABSOLUTE  EDP 100ML HOMBRE ;; $14.412 ; $13.412 ","Hombre","1001441213990"
"FRAGANCE WORLD;FRAGANCE WORLD UR WAY PARFUM 100 ML ;NUEVO; $14.076 ; $13.076 ","Unisex","1001407613990"
"FRAGANCE WORLD;FRAGANCE WORLD URBAN MAN AMAZE EDP 90 ML ;; $14.916 ; $13.916 ","Unisex","901491613990"
"FRAGANCE WORLD;FRAGANCE WORLD URBAN MAN PARADISE EDP 90 ML ;; $14.916 ; $13.916 ","Unisex","901491613990"
"FRAGANCE WORLD;FRAGRANCE WORLD CUIR LEATHER 100ML SPR EDP ;; $14.084 ; $13.084 ","Unisex","1001408413990"
"FRAGANCE WORLD;FRENCH AVENUE LIQUID BRUN EDP 100 ML  HOMBRE ;; $26.681 ; $25.681 ","Hombre","1002668125990"
"Fragrance World;FRAGANCE WORLD CANALE DI BLUE EAU DE PARFUM 50 ML ;; $6.765 ; $5.765 ","Unisex","5067655990"
"Fragrance World;FRAGANCE WORLD COCKTAIL INTENSE UNISEX EDP ;; $14.076 ; $13.076 ","Unisex","1407613990"
"Fragrance World;FRAGANCE WORLD HARMONY CODE ABSOLUTE HOMBRE EDP 100 ML ;; $14.412 ; $13.412 ","Hombre","1001441213990"
"Fragrance World;FRAGANCE WORLD HARMONY CODE INTENSE  EDP 100 ML HOMBRE ;; $14.076 ; $13.076 ","Hombre","1001407613990"
"Fragrance World;FRAGANCE WORLD HAYAATI ROSE 100ML EDP ;; $14.076 ; $13.076 ","Unisex","1001407613990"
"Fragrance World;FRAGANCE WORLD IS EDP 75 ML ;; $14.076 ; $13.076 ","Unisex","751407613990"
"Fragrance World;FRAGANCE WORLD IS L`AMOUR EDP 75 ML ;; $14.076 ; $13.076 ","Unisex","751407613990"
"Fragrance World;FRAGANCE WORLD JUST AZRAQ HOMBRE EDP 100 ML ;NUEVO; $13.655 ; $12.655 ","Hombre","1001365512990"
"Fragrance World;FRAGANCE WORLD JUST WARDI EDP 100 ML UNISEX ;; $14.076 ; $13.076 ","Unisex","1001407613990"
"Fragrance World;FRAGANCE WORLD L'UOMO 100 ML EDP HOMBRE ;; $14.504 ; $13.504 ","Hombre","1001450413990"
"Fragrance World;FRAGANCE WORLD L'UOMO LE INTENSE 100 ML EDP ;NUEVO; $14.504 ; $13.504 ","Unisex","1001450413990"
"Fragrance World;FRAGANCE WORLD LA UNO MILLION EDP 100ML ;NUEVO; $14.076 ; $13.076 ","Unisex","1001407613990"
"Fragrance World;FRAGANCE WORLD LA UNO MILLION ELIXIR EDP 100 ML HOMBRE ;; $14.076 ; $13.076 ","Hombre","1001407613990"
"Fragrance World;FRAGANCE WORLD LA UNO MILLION GOLDEN OUD 100ML EDP ;; $14.076 ; $13.076 ","Unisex","1001407613990"
"Fragrance World;FRAGANCE WORLD LA UNO MILLION LE PARFUM EDP 100 ML HOMBRE ;; $14.076 ; $13.076 ","Hombre","1001407613990"
"Fragrance World;FRAGANCE WORLD LA UNO MILLION ROYAL EDP 100 ML ;NUEVO; $14.076 ; $13.076 ","Unisex","1001407613990"
"Fragrance World;FRAGANCE WORLD PROUD OF YOU INTENSE EDP 100 ML ;; $14.076 ; $13.076 ","Unisex","1001407613990"
"Fragrance World;FRAGANCE WORLD RENHEIT PARFUM 100ML EDP ;; $14.076 ; $13.076 ","Unisex","1001407613990"
"Fragrance World;FRAGANCE WORLD SCANDANT POUR HOMME 100ML EDP ;; $14.832 ; $13.832 ","Hombre","1001483213990"
"Fragrance World;FRAGANCE WORLD UR WAY EDP 100 ML ;NUEVO; $14.076 ; $13.076 ","Unisex","1001407613990"
"Fragrance World;FRAGANCE WORLD UR WAY INTENSE EDP 100 ML MUJER ;; $14.076 ; $13.076 ","Mujer","1001407613990"
"Fragrance World;FRAGANCE WORLD URBAN MAN ELIXIR EDP 90 ML ;; $15.756 ; $14.756 ","Unisex","901575614990"
"Fragrance World;FRAGRANCE WORLD CHAMPION  SUGAR EDP  80 ML HOMBRE ;; $20.807 ; $19.807 ","Hombre","802080719990"
"Fragrance World;FRAGRANCE WORLD L'UOMO THE NIGHT EDITION EDP 100 ML HOMBRE ;; $14.076 ; $13.076 ","Hombre","1001407613990"
"Fragrance World;FRAGRANCE WORLD MONTERA INSTANT LOVE EDP 100 ML  HOMBRE ;; $14.924 ; $13.924 ","Hombre","1001492413990"
"Fragrance World;FRAGRANCE WORLD PROUD OF YOU FOR MEN  EDP 100 ML ;; $16.185 ; $15.185 ","Hombre","1001618515990"
"GAME OF SPADES;GAME OF SPADES WIN 100ML EDP ;; $48.950 ; $47.950 ","Unisex","1004895047990"
"Giorgio Armani;EMPORIO ARMANI MY WAY 90ML EDP ;; $71.218 ; $70.218 ","Unisex","907121870990"
"Giorgio Armani;EMPORIO ARMANI STRONGER WITH YOU 100ML EDT ;NUEVO; $67.857 ; $66.857 ","Unisex","1006785766990"
"Giorgio Armani;EMPORIO ARMANI STRONGER WITH YOU 50ML EDT ;NUEVO; $45.176 ; $44.176 ","Unisex","504517644990"
"Giorgio Armani;EMPORIO ARMANI STRONGER WITH YOU INTENSELY MAN 100ML EDP ;; $81.303 ; $80.303 ","Unisex","1008130380990"
"GIORGIO ARMANI;GIORGIO ARMANI ACQUA DI GIO PARFUM 50 ML EPP HOMBRE ;NUEVO; $50.218 ; $49.218 ","Hombre","505021849990"
"GIORGIO ARMANI;GIORGIO ARMANI CODE PARFUM 75ML EDP HOMBRE ;NUEVO; $61.983 ; $60.983 ","Hombre","756198360990"
"GIORGIO ARMANI;GIORGIO ARMANI CODE PARFUM 75ML MAN ;NUEVO; $70.387 ; $69.387 ","Unisex","757038769990"
"Giorgio Armani;GIORGIO ARMANI MY WAY 50ML EDP ;; $49.370 ; $48.370 ","Unisex","504937048990"
"GIORGIO ARMANI;GIORGIO ARMANI MY WAY YLANG WOMAN EDP 90 ML ;NUEVO; $71.218 ; $70.218 ","Unisex","907121870990"
"GIORGIO ARMANI;GIORGIO ARMANI SI PASSSIONE WOMAN 100ML EDP ;; $66.261 ; $65.261 ","Unisex","1006626165990"
"Giorgio Armani;TESTER GIOGRIO ARMANI SI PASSIONE PARFUM MUJER 100ML EDP ;; $62.815 ; $61.815 ","Mujer","1006281561990"
"Giorgio Armani;TESTER GIORGIO ARMANI ACQUA DI GIO ELIXIR PARFUM  50 ML ;NUEVO; $59.000 ; $58.000 ","Unisex","505900058990"
"Givenchy;GIVENCHY GENTLEMAN  EAU DE TOILETTE INTENSE 100ML ;; $64.496 ; $63.496 ","Unisex","1006449663990"
"Grandeur;GRANDEUR MOUNTAIN ROSE PARIS MUJER 100 ML EDP ;; $13.244 ; $12.244 ","Mujer","1001324412990"
"Grandeur;GRANDEUR MUSK ROUGE MUJER 100 ML EDP ;; $12.824 ; $11.824 ","Mujer","1001282411990"
"GRANDEUR;GRANDEUR TUBBEES BUBBLE GUM 50ML EDP ;; $8.613 ; $7.613 ","Unisex","5086137990"
"Grandeur;GRANDEUR TUBBEES CANDY POP 50ML EDP ;NUEVO; $8.613 ; $7.613 ","Unisex","5086137990"
"GRANDEUR;GRANDEUR TUBBEES CHOCOLATE FUDGE EDP 50 ML ;; $8.613 ; $7.613 ","Unisex","5086137990"
"Grandeur;GRANDEUR TUBBEES COTTON CANDY EDP 50 ML ;; $8.613 ; $7.613 ","Unisex","5086137990"
"GRANDEUR;GRANDEUR TUBBEES STRAWBERRY CHEESECAKE ;; $8.613 ; $7.613 ","Unisex","86137990"
"Grandeur;GRANDEUR TUBBEES UNICORN VANILLA EDP 50 ML ;; $8.613 ; $7.613 ","Unisex","5086137990"
"GUCCI;GUCCI BLOOM PARFUM MUJER 50 ML EDP ;; $41.815 ; $40.815 ","Mujer","504181540990"
"GUCCI;GUCCI BLOOM POUR FEMME 100 ML EDT ;; $50.210 ; $49.210 ","Mujer","1005021049990"
"GUCCI;GUCCI BLOOM POUR FEMME 50 ML EDT ;; $34.244 ; $33.244 ","Mujer","503424433990"
"GUCCI;GUCCI FLORA GARDEUS MAGNOLIA MUJER 50ML PARFUM ;; $54.412 ; $53.412 ","Mujer","505441253990"
"GUCCI;GUCCI GORGEOUS GARDENIA 30 ML MUJER EDP ;; $37.605 ; $36.605 ","Mujer","303760536990"
"GUCCI;GUCCI GUILTY HOMBRE 90ML EDT ;; $58.613 ; $57.613 ","Hombre","905861357990"
"GUCCI;GUCCI GUILTY POUR FEMME 30ML EDT ;; $30.891 ; $29.891 ","Mujer","303089129990"
"GUCCI;GUCCI GUILTY POUR FEMME 50 ML EDT ;; $35.933 ; $34.933 ","Mujer","503593334990"
"GUCCI;GUCCI GUILTY POUR FEMME 90 ML EDP ;; $58.622 ; $57.622 ","Mujer","905862257990"
"GUCCI;GUCCI GUILTY POUR FEMME PARFUM 50 ML EDP ;; $46.017 ; $45.017 ","Mujer","504601745990"
"GUY LAROCHE;GUY LAROCHE DRAKKAR NOIR HOMBRE 50 ML EDT ;; $11.555 ; $10.555 ","Hombre","501155510990"
"Halloween;HALLOWEEN MAN 75ML EDT ;; $25.849 ; $24.849 ","Unisex","752584924990"
"HALLOWEEN;HALLOWEEN MAN CLASICO 125ML EDT ;; $26.849 ; $25.849 ","Unisex","1252684925990"
"HALLOWEEN;HALLOWEEN MAN ROCK ON MAN 125ML EDT ;; $26.849 ; $25.849 ","Unisex","1252684925990"
"HALLOWEEN;HALLOWEEN MAN X 100ML EDT ;; $30.714 ; $29.714 ","Unisex","1003071429990"
"HALLOWEEN;HALLOWEEN MUJER CLASICO 100ML EDT ;; $25.840 ; $24.840 ","Mujer","1002584024990"
"HUGO BOSS;BOSS HUGO BOSS THE SCENT MAN 100ML EDT ;; $44.336 ; $43.336 ","Unisex","1004433643990"
"HUGO BOSS;HUGO BOSS ALIVE 80ML EDT ;NUEVO; $35.933 ; $34.933 ","Unisex","803593334990"
"HUGO BOSS;HUGO BOSS BOTTLED ELIXIR HOMBRE 100 ML EDP ;; $61.983 ; $60.983 ","Hombre","1006198360990"
"Hugo Boss;HUGO BOSS BOTTLED NIGHT 100ML EDT ;; $37.605 ; $36.605 ","Unisex","1003760536990"
"HUGO BOSS;HUGO BOSS BOTTLED PARFUM HOMBRE 50ML EDP ;NUEVO; $26.849 ; $25.849 ","Hombre","502684925990"
"HUGO BOSS;HUGO BOSS BOTTLED UNLIMITED EDT 100ML EDT ;NUEVO; $41.815 ; $40.815 ","Unisex","1004181540990"
"HUGO BOSS;HUGO BOSS CANTIMPLORA VERDE 200ML EDT ;; $60.042 ; $59.042 ","Unisex","2006004259990"
"HUGO BOSS;HUGO BOSS DEEP RED WOMAN 50ML EDP ;NUEVO; $19.042 ; $18.042 ","Unisex","501904218990"
"HUGO BOSS;HUGO BOSS JEANS HOMBRE125ML EDT ;NUEVO; $41.815 ; $40.815 ","Hombre","1254181540990"
"HUGO BOSS;HUGO BOSS JUST DIFFERENT MAN 75ML EDT ;NUEVO; $24.916 ; $23.916 ","Unisex","752491623990"
"Hugo Boss;HUGO BOSS MAN CANTIMPLORA VERDE 125ML EDT ;; $32.395 ; $31.395 ","Unisex","1253239531990"
"Hugo Boss;HUGO BOSS MAN ORANGE 100ML EDT ;; $24.160 ; $23.160 ","Unisex","1002416023990"
"HUGO BOSS;HUGO BOSS SUPERMAN X HUGO PARFUM  125ML ;; $50.714 ; $49.714 ","Unisex","1255071449990"
"Hugo Boss;HUGO BOSS THE SCENT FOR HER 100ML EDP ;; $51.059 ; $50.059 ","Unisex","1005105950990"
"HUGO BOSS;HUGO BOSS THE SCENT HOMBRE 50 ML EDT ;; $25.008 ; $24.008 ","Hombre","502500824990"
"HUGO BOSS;HUGO BOSS XY MAN 100ML EDT ;; $33.235 ; $32.235 ","Unisex","1003323532990"
"HUGO BOSS;HUGO JEANS EDT 75 ML ;; $41.815 ; $40.815 ","Unisex","754181540990"
"Issey Miyake;ISSEY MIYAKE L' EAU D' ISSEY POUR HOMME 125ML EDT ;NUEVO; $40.966 ; $39.966 ","Hombre","1254096639990"
"Issey Miyake;ISSEY MIYAKE L'EAU D'ISSEY MUJER 100ML EDT ;NUEVO; $37.605 ; $36.605 ","Mujer","1003760536990"
"JEAN PAUL GAULTIER;JEAN PAUL GAULTIER ''LE MALE'' LE PARFUM EDP INTENSE 125ML ;; $82.311 ; $81.311 ","Unisex","1258231181990"
"Jean Paul Gaultier;JEAN PAUL GAULTIER CLASSIQUE FEMME 80ML EDP ;NUEVO; $52.739 ; $51.739 ","Unisex","805273951990"
"JEAN PAUL GAULTIER;JEAN PAUL GAULTIER LE BEAU HOMBRE 125 ML EDT ;; $82.899 ; $81.899 ","Hombre","1258289981990"
"Jean Paul Gaultier;JEAN PAUL GAULTIER LE BEAU LE PARFUM 75ML EDP ;; $65.168 ; $64.168 ","Unisex","756516864990"
"Jean Paul Gaultier;JEAN PAUL GAULTIER LE BEAU LE PARFUM EDP INTENSE 125 ML ;; $92.899 ; $91.899 ","Unisex","1259289991990"
"JEAN PAUL GAULTIER;JEAN PAUL GAULTIER LE BEAU PARADISE GARDEN EDP 125 ML HOMBRE ;; $86.261 ; $85.261 ","Hombre","1258626185990"
"JEAN PAUL GAULTIER;JEAN PAUL GAULTIER LE BEAU PARADISE GARDEN EDP 75 ML ;; $65.168 ; $64.168 ","Unisex","756516864990"
"JEAN PAUL GAULTIER;JEAN PAUL GAULTIER LE MALE ELIXIR PARFUM 75 ML ;; $75.000 ; $74.000 ","Unisex","757500074990"
"JEAN PAUL GAULTIER;JEAN PAUL GAULTIER LE MALE LE PARFUM 75ML EDP ;; $69.546 ; $68.546 ","Unisex","756954668990"
"JEAN PAUL GAULTIER;JEAN PAUL GAULTIER LE MALE MAN 125ML EDT ;NUEVO; $67.025 ; $66.025 ","Unisex","1256702566990"
"JEAN PAUL GAULTIER;JEAN PAUL GAULTIER LE MALE ULTRA MALE INTENSE 125ML EDT ;; $83.193 ; $82.193 ","Unisex","1258319382990"
"JEAN PAUL GAULTIER;JEAN PAUL GAULTIER SCANDAL HOMBRE 100ML EDT ;; $81.303 ; $80.303 ","Hombre","1008130380990"
"Jean Paul Gaultier;JEAN PAUL GAULTIER SCANDAL MUJER 100ML EDP ;; $87.017 ; $86.017 ","Mujer","1008701786990"
"Jean Paul Gaultier;JEAN PAUL GAULTIER SCANDAL PARFUM HOMBRE 100 ML EDP ;; $92.899 ; $91.899 ","Hombre","1009289991990"
"JEAN PAUL GAULTIER;SET JEAN PAUL GAULTIER SCANDAL ABSOLU PARFUM 80M CONCENTR� 80ML +10ML MUJER ;NUEVO; $84.672 ; $83.672 ","Mujer","8080108467283990"
"JO MILANO;JO MILANO GAME OF SPADES FULL-HOUSE PARFUM 100 ML ;; $57.269 ; $56.269 ","Unisex","1005726956990"
"JO MILANO;JO MILANO GAME OF SPADES OPAL PARFUM 90 ML ;; $57.782 ; $56.782 ","Unisex","905778256990"
"JO MILANO;JO MILANO GAME OF SPADES ROUGE PARFUM 100 ML UNISEX ;; $46.857 ; $45.857 ","Unisex","1004685745990"
"JO MILANO;JO MILANO GAME OF SPADES WILDCARD PARFUM 100 ML UNISEX ;NUEVO; $53.571 ; $52.571 ","Unisex","1005357152990"
"KHADLAJ;KHADLAJ EMPIRE CROWN EDP 100 ML ;; $14.924 ; $13.924 ","Unisex","1001492413990"
"Lancome;LANCOME LA NUIT TRESOR 75ML EDP ;; $67.017 ; $66.017 ","Unisex","756701766990"
"LANCOME;LANCOME TRESOR 100ML EDP ;; $84.580 ; $83.580 ","Unisex","1008458083990"
"Lancome;TESTER LANCOME LA VIE EST BELLE IRIS ABSOLU MUJER 50ML EDP ;NUEVO; $39.000 ; $38.000 ","Mujer","503900038990"
"LATTAFA;ARIANA GRANDE MOD BLUSH MUJER EDP 100 ML ;NUEVO; $43.600 ; $42.600 ","Mujer","1004360042990"
"LATTAFA;DESODORANTE BADEE AL OUD FOR GLORY MEN 200 ML SPRAY ;; $6.092 ; $5.092 ","Hombre","20060925990"
"Lattafa;DESODORANTE LATTAFA AMEERAT AL ARAB SPRAY 200 ML ;; $6.008 ; $5.008 ","Unisex","20060085990"
"LATTAFA;DESODORANTE LATTAFA ASAD MEN 200 ML SPRAY ;; $6.092 ; $5.092 ","Hombre","20060925990"
"Lattafa;DESODORANTE LATTAFA BADEE AL OUD AMETHYTS 200ML ;; $6.092 ; $5.092 ","Unisex","20060925990"
"Lattafa;DESODORANTE LATTAFA FAKHAR GOLD 200ML MUJER ;; $6.092 ; $5.092 ","Mujer","20060925990"
"LATTAFA;DESODORANTE LATTAFA FAKHAR MEN 200 ML SPRAY ;; $5.924 ; $4.924 ","Hombre","20059244990"
"LATTAFA;DESODORANTE LATTAFA HAYAATI MEN 200 ML SPRAY ;; $5.924 ; $4.924 ","Hombre","20059244990"
"LATTAFA;DESODORANTE LATTAFA KHAMRAH UNISEX 200 ML SPRAY ;; $6.092 ; $5.092 ","Unisex","20060925990"
"LATTAFA;DESODORANTE LATTAFA MAYAR MUJER 200 ML SPRAY ;; $6.092 ; $5.092 ","Mujer","20060925990"
"Lattafa;DESODORANTE LATTAFA QAED AL FURSAN 200 ML HOMBRE ;; $5.924 ; $4.924 ","Hombre","20059244990"
"LATTAFA;DESODORANTE LATTAFA YARA MOI SPRAY 200 ML ;; $6.008 ; $5.008 ","Unisex","20060085990"
"LATTAFA;DESODORANTE LATTAFA YARA ROSADO WOMAN 200 ML ;; $6.008 ; $5.008 ","Unisex","20060085990"
"LATTAFA;LATAFFA CARAT PURE GOLD UNISEX 100 ML EDP ;; $12.403 ; $11.403 ","Unisex","1001240311990"
"LATTAFA;LATAFFA MUSAMAN WHITE UNISEX 100 ML EDP ;NUEVO; $29.202 ; $28.202 ","Unisex","1002920228990"
"Lattafa;LATAFFA QAA ED SHABAAB HOMBRE 100 ML EDP ;NUEVO; $18.286 ; $17.286 ","Hombre","1001828617990"
"LATTAFA;LATAFFA YARA MUJER 50 ML EDP ;; $6.849 ; $5.849 ","Mujer","5068495990"
"Lattafa;LATTAFA ADEEB UNISEX 80 ML EDP ;; $20.798 ; $19.798 ","Unisex","802079819990"
"LATTAFA;LATTAFA AFFECTION EDP 100 ML ;; $20.798 ; $19.798 ","Unisex","1002079819990"
"LATTAFA;LATTAFA AJWAD PINK TO PINK MUJER 60ML EDP ;; $16.521 ; $15.521 ","Mujer","601652115990"
"LATTAFA;LATTAFA AJWAD UNISEX 100 ML EDP ;NUEVO; $15.756 ; $14.756 ","Unisex","1001575614990"
"LATTAFA;LATTAFA AL ANA ABIYEDH 60ML UNISEX EDP ;NUEVO; $14.496 ; $13.496 ","Unisex","601449613990"
"Lattafa;LATTAFA AL QIAM SILVER UNISEX 100ML EDP ;; $22.899 ; $21.899 ","Unisex","1002289921990"
"LATTAFA;LATTAFA ALHAMBRA PHILOS ROSSO UNISEX 100ML EDP ;NUEVO; $14.076 ; $13.076 ","Unisex","1001407613990"
"Lattafa;LATTAFA AMEER AL OUDH UNISEX 100 ML EDP ;; $16.605 ; $15.605 ","Unisex","1001660515990"
"LATTAFA;LATTAFA AMETHYST UNISEX 100ML EDP ;; $21.639 ; $20.639 ","Unisex","1002163920990"
"LATTAFA;LATTAFA ANARCH UNISEX 100ML EDP (TIZIANA TERENZI ANDROMEDA) ;; $14.504 ; $13.504 ","Unisex","1001450413990"
"LATTAFA;LATTAFA ASAD BOURBON 100ML EDP ;NUEVO; $23.319 ; $22.319 ","Unisex","1002331922990"
"LATTAFA;LATTAFA ASAD EDP 12 ML HOMBRE ;; $7.353 ; $6.353 ","Hombre","1273536990"
"LATTAFA;LATTAFA ASAD MAN 100ML EDP ;NUEVO; $19.538 ; $18.538 ","Unisex","1001953818990"
"Lattafa;LATTAFA AWRAQ AL OUD HOMBRE 100 ML EDP ;; $14.924 ; $13.924 ","Hombre","1001492413990"
"LATTAFA;LATTAFA BADEE AL OUD BLUSH MUJER 100ML EDP ;NUEVO; $21.639 ; $20.639 ","Mujer","1002163920990"
